date,commodity,contract,settlement_eur
2010-06-15,ele,CAL11,51.6
2010-06-16,ele,CAL11,51.85
2010-06-17,ele,CAL11,52.0
2010-06-20,ele,CAL11,52.6
2010-06-21,ele,CAL11,51.35
2010-06-22,ele,CAL11,50.7
2010-06-23,ele,CAL11,50.3
2010-06-24,ele,CAL11,49.95
2010-06-27,ele,CAL11,50.5
2010-06-28,ele,CAL11,50.8
2010-06-29,ele,CAL11,50.65
2010-06-30,ele,CAL11,50.8
2010-07-01,ele,CAL11,50.4
2010-07-06,ele,CAL11,48.8
2010-07-07,ele,CAL11,49.3
2010-07-08,ele,CAL11,49.25
2010-07-11,ele,CAL11,48.95
2010-07-12,ele,CAL11,48.8
2010-07-13,ele,CAL11,48.6
2010-07-14,ele,CAL11,48.8
2010-07-15,ele,CAL11,48.75
2010-07-18,ele,CAL11,48.55
2010-07-19,ele,CAL11,47.7
2010-07-20,ele,CAL11,47.15
2010-07-21,ele,CAL11,47.95
2010-07-22,ele,CAL11,47.55
2010-07-25,ele,CAL11,47.3
2010-07-26,ele,CAL11,47.5
2010-07-27,ele,CAL11,47.45
2010-07-28,ele,CAL11,48.45
2010-07-29,ele,CAL11,48.55
2010-08-01,ele,CAL11,49.35
2010-08-02,ele,CAL11,49.6
